mortgages_grouped_by,category,postcode_region,date,number_of_sales
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q4-2019,7787
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q4-2018,8449
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q4-2017,8571
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q1-2017,13915
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q1-2018,14953
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q1-2019,16701
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q1-2020,16918
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q1-2021,19275
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q2-2020,12366
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q2-2017,15409
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q2-2018,16948
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q2-2019,18110
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q2-2021,20228
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q3-2020,16007
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q3-2017,16791
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q3-2018,18549
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q3-2019,19089
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q3-2021,20767
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q4-2017,17076
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q4-2021,18530
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q4-2020,19341
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q4-2019,19537
Number of sales by sales channel,Intermediary,Yorkshire and The Humber,Q4-2018,19650
Number of sales by sales channel,Direct,Unknown Region,Q1-2020,274
Number of sales by sales channel,Direct,Unknown Region,Q1-2021,279
Number of sales by sales channel,Direct,Unknown Region,Q1-2019,281
Number of sales by sales channel,Direct,Unknown Region,Q1-2017,327
Number of sales by sales channel,Direct,Unknown Region,Q1-2018,368
Number of sales by sales channel,Direct,Unknown Region,Q2-2020,204
Number of sales by sales channel,Direct,Unknown Region,Q2-2021,237
Number of sales by sales channel,Direct,Unknown Region,Q2-2017,294
Number of sales by sales channel,Direct,Unknown Region,Q2-2019,308
Number of sales by sales channel,Direct,Unknown Region,Q2-2018,395
Number of sales by sales channel,Direct,Unknown Region,Q3-2021,206
Number of sales by sales channel,Direct,Unknown Region,Q3-2020,279
Number of sales by sales channel,Direct,Unknown Region,Q3-2019,313
Number of sales by sales channel,Direct,Unknown Region,Q3-2017,347
Number of sales by sales channel,Direct,Unknown Region,Q3-2018,361
Number of sales by sales channel,Direct,Unknown Region,Q4-2021,160
Number of sales by sales channel,Direct,Unknown Region,Q4-2020,300
Number of sales by sales channel,Direct,Unknown Region,Q4-2019,331
Number of sales by sales channel,Direct,Unknown Region,Q4-2017,366
Number of sales by sales channel,Direct,Unknown Region,Q4-2018,392
Number of sales by sales channel,Intermediary,Unknown Region,Q1-2020,347
Number of sales by sales channel,Intermediary,Unknown Region,Q1-2021,349
Number of sales by sales channel,Intermediary,Unknown Region,Q1-2019,353
Number of sales by sales channel,Intermediary,Unknown Region,Q1-2018,433
Number of sales by sales channel,Intermediary,Unknown Region,Q1-2017,473
Number of sales by sales channel,Intermediary,Unknown Region,Q2-2020,168
Number of sales by sales channel,Intermediary,Unknown Region,Q2-2021,341
Number of sales by sales channel,Intermediary,Unknown Region,Q2-2019,486
Number of sales by sales channel,Intermediary,Unknown Region,Q2-2018,497
Number of sales by sales channel,Intermediary,Unknown Region,Q2-2017,588
Number of sales by sales channel,Intermediary,Unknown Region,Q3-2020,294
Number of sales by sales channel,Intermediary,Unknown Region,Q3-2021,300
Number of sales by sales channel,Intermediary,Unknown Region,Q3-2019,434
Number of sales by sales channel,Intermediary,Unknown Region,Q3-2018,440
Number of sales by sales channel,Intermediary,Unknown Region,Q3-2017,536
Number of sales by sales channel,Intermediary,Unknown Region,Q4-2021,257
Number of sales by sales channel,Intermediary,Unknown Region,Q4-2020,385
Number of sales by sales channel,Intermediary,Unknown Region,Q4-2018,469
Number of sales by sales channel,Intermediary,Unknown Region,Q4-2019,506
Number of sales by sales channel,Intermediary,Unknown Region,Q4-2017,603
Number of sales by advice given,Advised sale,London,Q1-2020,32157
Number of sales by advice given,Advised sale,London,Q1-2019,32298
Number of sales by advice given,Advised sale,London,Q1-2018,32483
Number of sales by advice given,Advised sale,London,Q1-2017,33032
Number of sales by advice given,Advised sale,London,Q1-2021,39786
Number of sales by advice given,Advised sale,London,Q2-2020,20950
Number of sales by advice given,Advised sale,London,Q2-2019,31642
Number of sales by advice given,Advised sale,London,Q2-2017,32856
Number of sales by advice given,Advised sale,London,Q2-2018,34145
Number of sales by advice given,Advised sale,London,Q2-2021,45066
Number of sales by advice given,Advised sale,London,Q3-2020,28435
Number of sales by advice given,Advised sale,London,Q3-2021,29510
Number of sales by advice given,Advised sale,London,Q3-2019,35971
Number of sales by advice given,Advised sale,London,Q3-2017,36231
Number of sales by advice given,Advised sale,London,Q3-2018,37583
Number of sales by advice given,Advised sale,London,Q4-2021,29102
Number of sales by advice given,Advised sale,London,Q4-2020,33222
Number of sales by advice given,Advised sale,London,Q4-2017,33743
Number of sales by advice given,Advised sale,London,Q4-2019,33909
Number of sales by advice given,Advised sale,London,Q4-2018,35528
Number of sales by advice given,Advised sale,East Midlands,Q1-2017,20962
Number of sales by advice given,Advised sale,East Midlands,Q1-2020,21747
Number of sales by advice given,Advised sale,East Midlands,Q1-2018,21813
Number of sales by advice given,Advised sale,East Midlands,Q1-2019,22077
Number of sales by advice given,Advised sale,East Midlands,Q1-2021,24596
Number of sales by advice given,Advised sale,East Midlands,Q2-2020,15720
Number of sales by advice given,Advised sale,East Midlands,Q2-2017,22233
Number of sales by advice given,Advised sale,East Midlands,Q2-2019,23646
Number of sales by advice given,Advised sale,East Midlands,Q2-2018,23866
Number of sales by advice given,Advised sale,East Midlands,Q2-2021,25545
Number of sales by advice given,Advised sale,East Midlands,Q3-2020,19967
Number of sales by advice given,Advised sale,East Midlands,Q3-2017,24259
Number of sales by advice given,Advised sale,East Midlands,Q3-2021,24750
Number of sales by advice given,Advised sale,East Midlands,Q3-2019,25361
Number of sales by advice given,Advised sale,East Midlands,Q3-2018,25510
Number of sales by advice given,Advised sale,East Midlands,Q4-2021,21838
Number of sales by advice given,Advised sale,East Midlands,Q4-2020,23887
Number of sales by advice given,Advised sale,East Midlands,Q4-2017,24123
Number of sales by advice given,Advised sale,East Midlands,Q4-2019,25076
Number of sales by advice given,Advised sale,East Midlands,Q4-2018,26420
Number of sales by advice given,Advised sale,East of England,Q1-2017,27496
Number of sales by advice given,Advised sale,East of England,Q1-2019,27766
Number of sales by advice given,Advised sale,East of England,Q1-2018,27922
Number of sales by advice given,Advised sale,East of England,Q1-2020,28037
Number of sales by advice given,Advised sale,East of England,Q1-2021,34821
Number of sales by advice given,Advised sale,East of England,Q2-2020,19278
Number of sales by advice given,Advised sale,East of England,Q2-2017,28518
Number of sales by advice given,Advised sale,East of England,Q2-2019,29048
Number of sales by advice given,Advised sale,East of England,Q2-2018,30158
Number of sales by advice given,Advised sale,East of England,Q2-2021,35977
Number of sales by advice given,Advised sale,East of England,Q3-2020,25021
Number of sales by advice given,Advised sale,East of England,Q3-2021,28989
Number of sales by advice given,Advised sale,East of England,Q3-2017,31733
Number of sales by advice given,Advised sale,East of England,Q3-2019,31791
Number of sales by advice given,Advised sale,East of England,Q3-2018,32502
Number of sales by advice given,Advised sale,East of England,Q4-2021,27031
Number of sales by advice given,Advised sale,East of England,Q4-2017,30528
Number of sales by advice given,Advised sale,East of England,Q4-2020,31338
Number of sales by advice given,Advised sale,East of England,Q4-2019,31588
Number of sales by advice given,Advised sale,East of England,Q4-2018,32741
Number of sales by advice given,Advised sale,North East,Q1-2017,9410
Number of sales by advice given,Advised sale,North East,Q1-2018,9473
Number of sales by advice given,Advised sale,North East,Q1-2020,9905
Number of sales by advice given,Advised sale,North East,Q1-2019,9911
Number of sales by advice given,Advised sale,North East,Q1-2021,10564
Number of sales by advice given,Advised sale,North East,Q2-2020,6769
Number of sales by advice given,Advised sale,North East,Q2-2017,10099
Number of sales by advice given,Advised sale,North East,Q2-2019,10896
Number of sales by advice given,Advised sale,North East,Q2-2018,10912
Number of sales by advice given,Advised sale,North East,Q2-2021,11072
Number of sales by advice given,Advised sale,North East,Q3-2020,9104
Number of sales by advice given,Advised sale,North East,Q3-2017,10640
Number of sales by advice given,Advised sale,North East,Q3-2019,11396
Number of sales by advice given,Advised sale,North East,Q3-2018,11458
Number of sales by advice given,Advised sale,North East,Q3-2021,11858
Number of sales by advice given,Advised sale,North East,Q4-2021,10505
Number of sales by advice given,Advised sale,North East,Q4-2017,11135
Number of sales by advice given,Advised sale,North East,Q4-2020,11144
Number of sales by advice given,Advised sale,North East,Q4-2019,11538
Number of sales by advice given,Advised sale,North East,Q4-2018,11923
Number of sales by advice given,Advised sale,North West,Q1-2017,28357
Number of sales by advice given,Advised sale,North West,Q1-2018,29137
Number of sales by advice given,Advised sale,North West,Q1-2019,30026
Number of sales by advice given,Advised sale,North West,Q1-2020,30361
Number of sales by advice given,Advised sale,North West,Q1-2021,32872
Number of sales by advice given,Advised sale,North West,Q2-2020,20333
Number of sales by advice given,Advised sale,North West,Q2-2017,29285
Number of sales by advice given,Advised sale,North West,Q2-2018,31978
Number of sales by advice given,Advised sale,North West,Q2-2019,32440
Number of sales by advice given,Advised sale,North West,Q2-2021,33964
Number of sales by advice given,Advised sale,North West,Q3-2020,27558
Number of sales by advice given,Advised sale,North West,Q3-2017,32896
Number of sales by advice given,Advised sale,North West,Q3-2018,34056
Number of sales by advice given,Advised sale,North West,Q3-2021,34057
Number of sales by advice given,Advised sale,North West,Q3-2019,34226
Number of sales by advice given,Advised sale,North West,Q4-2021,29847
Number of sales by advice given,Advised sale,North West,Q4-2017,32420
Number of sales by advice given,Advised sale,North West,Q4-2020,32740
Number of sales by advice given,Advised sale,North West,Q4-2019,33822
Number of sales by advice given,Advised sale,North West,Q4-2018,35726
Number of sales by advice given,Advised sale,Northern Ireland,Q1-2017,4997
Number of sales by advice given,Advised sale,Northern Ireland,Q1-2018,5481
Number of sales by advice given,Advised sale,Northern Ireland,Q1-2019,6252
Number of sales by advice given,Advised sale,Northern Ireland,Q1-2020,6371
Number of sales by advice given,Advised sale,Northern Ireland,Q1-2021,6768
Number of sales by advice given,Advised sale,Northern Ireland,Q2-2020,3129
Number of sales by advice given,Advised sale,Northern Ireland,Q2-2017,5650
Number of sales by advice given,Advised sale,Northern Ireland,Q2-2018,6348
Number of sales by advice given,Advised sale,Northern Ireland,Q2-2019,6666
Number of sales by advice given,Advised sale,Northern Ireland,Q2-2021,7217
Number of sales by advice given,Advised sale,Northern Ireland,Q3-2020,5345
Number of sales by advice given,Advised sale,Northern Ireland,Q3-2017,6065
Number of sales by advice given,Advised sale,Northern Ireland,Q3-2018,6644
Number of sales by advice given,Advised sale,Northern Ireland,Q3-2019,7331
Number of sales by advice given,Advised sale,Northern Ireland,Q3-2021,7449
Number of sales by advice given,Advised sale,Northern Ireland,Q4-2017,6270
Number of sales by advice given,Advised sale,Northern Ireland,Q4-2021,6494
Number of sales by advice given,Advised sale,Northern Ireland,Q4-2018,6962
Number of sales by advice given,Advised sale,Northern Ireland,Q4-2019,7068
Number of sales by advice given,Advised sale,Northern Ireland,Q4-2020,7201
Number of sales by advice given,Advised sale,Scotland,Q1-2018,20271
Number of sales by advice given,Advised sale,Scotland,Q1-2020,21227
Number of sales by advice given,Advised sale,Scotland,Q1-2017,21236
Number of sales by advice given,Advised sale,Scotland,Q1-2021,21724
Number of sales by advice given,Advised sale,Scotland,Q1-2019,22655
Number of sales by advice given,Advised sale,Scotland,Q2-2020,12988
